"candidate","Party","Votes","State","const","winner"
"BALESHWAR PASWAN","Janta Dal Rashtravadi",15837,"Bihar","Samastipur (SC)",0
"MITHILESH KUMAR RAJAK","Independent",13504,"Bihar","Samastipur (SC)",0
"RAM CHANDRA RAM","Bahujan Samaj Party",12813,"Bihar","Samastipur (SC)",0
"SHATRUDHAN KUMAR PASWAN","Rashtriya Krantikari Samajwadi Party",12322,"Bihar","Samastipur (SC)",0
"VIJAY KUMAR RAM","Rajnaitik Vikalp Party",11813,"Bihar","Samastipur (SC)",0
"GANESH KUMAR","Aam Aadmi Party",9954,"Bihar","Samastipur (SC)",0
"LAL BAHADUR SADA","Communist Party of India  (Marxist-Leninist)  (Liberation)",9665,"Bihar","Samastipur (SC)",0
"AMIT KUMAR","Samajwadi Janata Party (Rashtriya)",7423,"Bihar","Samastipur (SC)",0
"ASHOK PASWAN","Bahujan Mukti Party",6603,"Bihar","Samastipur (SC)",0
"BHOLA SINGH","Bharatiya Janata Party",428227,"Bihar","Begusarai",1
"MD. TANVEER HASSAN","Rashtriya Janata Dal",369892,"Bihar","Begusarai",0
"RAJENDRA PRASAD SINGH","Communist Party of India",192639,"Bihar","Begusarai",0
"None of the Above","None of the Above",26622,"Bihar","Begusarai",0
"VAIJ NATH PASWAN","Independent",12143,"Bihar","Begusarai",0
"SUSHIL KUMAR","Independent",11144,"Bihar","Begusarai",0
"RAM PADARATH YADAV","Bahujan Samaj Party",9014,"Bihar","Begusarai",0
"SUNIL KUMAR","Aam Aadmi Party",8639,"Bihar","Begusarai",0
"PINKI DEVI","Bahujan Mukti Party",4858,"Bihar","Begusarai",0
"RAJENDRA YADAV","Independent",4605,"Bihar","Begusarai",0
"MOHAMMAD JAVED","Independent",3405,"Bihar","Begusarai",0
"HARI KANT PRASAD","Bharatiya Bahujan Congress",3344,"Bihar","Begusarai",0
"PANKAJ PASWAN","Independent",3323,"Bihar","Begusarai",0
"CHOUDHARY MAHBOOB ALI KAISER","Lok Jan Shakti Party",313806,"Bihar","Khagaria",1
"KRISHNA KUMARI YADAV","Rashtriya Janata Dal",237803,"Bihar","Khagaria",0
"DINESH CHANDRA YADAV","Janata Dal  (United)",220316,"Bihar","Khagaria",0
"JAGDISH CHANDRA VASU","Communist Party of India  (Marxist)",24490,"Bihar","Khagaria",0
"None of the Above","None of the Above",23868,"Bihar","Khagaria",0
"UMESH CHANDRA BHARTI","Independent",14926,"Bihar","Khagaria",0
"DR. SWAMI VIVEKANAND","Aam Aadmi Party",14491,"Bihar","Khagaria",0
"SATISH PRASAD SINGH","Independent",13888,"Bihar","Khagaria",0
"MAKKHAN SAH","Samajwadi Janata Party (Rashtriya)",6651,"Bihar","Khagaria",0
"RAJESH KUMAR","Bahujan Samaj Party",6480,"Bihar","Khagaria",0
"RAJEEV RANJAN","Lok Dal",5722,"Bihar","Khagaria",0
"BRAHAMDEO MUKHIA","Rashtriya Naujawan Dal",5215,"Bihar","Khagaria",0
"GANESH MUKHIYA NISHAD","Sarvajan Kalyan Loktantrik Party",4522,"Bihar","Khagaria",0
"TEJ BAHADUR SINGH","Proutist Sarva Samaj",4053,"Bihar","Khagaria",0
"SHAILESH KUMAR URPH BULO MANDAL","Rashtriya Janata Dal",367623,"Bihar","Bhagalpur",1
"SYED SHAHNAWAZ HUSSAIN","Bharatiya Janata Party",358138,"Bihar","Bhagalpur",0
"ABU QAISER","Janata Dal  (United)",132256,"Bihar","Bhagalpur",0
"RAMJEE MANDAL","Independent",18937,"Bihar","Bhagalpur",0
"INDRADEO KUMAR SINGH","Independent",12710,"Bihar","Bhagalpur",0
"None of the Above","None of the Above",11875,"Bihar","Bhagalpur",0
"NAUSHABA KHANAM","Bahujan Samaj Party",11265,"Bihar","Bhagalpur",0
"MAHADEO KUMAR","Independent",9295,"Bihar","Bhagalpur",0
"KUMKUM SINGH","Bharat Vikas Morcha",8025,"Bihar","Bhagalpur",0
"SIKANDAR TANTI","Independent",7122,"Bihar","Bhagalpur",0
"PROF. YOGENDRA MAHTO","Aam Aadmi Party",5830,"Bihar","Bhagalpur",0
"RINKI KUMARI","Communist Party of India  (Marxist-Leninist)  (Liberation)",5778,"Bihar","Bhagalpur",0
"RANJAN KUMAR","Independent",5165,"Bihar","Bhagalpur",0
"ANAND KUMAR JAIN","Independent",4734,"Bihar","Bhagalpur",0
"SUMAN KUMAR","Independent",3444,"Bihar","Bhagalpur",0
"GAURAV KUMAR GHOSH","National Tiger Party",3251,"Bihar","Bhagalpur",0
"NISHI KANT MANDAL","Bahujan Mukti Party",3147,"Bihar","Bhagalpur",0
"VIREN DAS","Sankhyanupati Bhagidari Party",3005,"Bihar","Bhagalpur",0
"PUROSOTTAM CHOUBEY","Samajwadi Party",2416,"Bihar","Bhagalpur",0
"JAI PRAKASH NARAYAN YADAV","Rashtriya Janata Dal",285150,"Bihar","Banka",1
"PUTUL KUMARI","Bharatiya Janata Party",275006,"Bihar","Banka",0
"SANJAY KUMAR -I","Communist Party of India",220708,"Bihar","Banka",0
"NARESH KUMAR PRIYADARSHI","Independent",30814,"Bihar","Banka",0
"ALIMUDDIN ANSARI","Independent",12871,"Bihar","Banka",0
"INDRARAJ SINGH SAINI","Independent",11520,"Bihar","Banka",0
"SARGUN SAH","Independent",11056,"Bihar","Banka",0
"SANJAY KUMAR-II","Bahujan Samaj Party",10558,"Bihar","Banka",0
"None of the Above","None of the Above",9753,"Bihar","Banka",0
"NIRAJ KUMAR","Aam Aadmi Party",6058,"Bihar","Banka",0
"AKHIL BHARTIYA SHARMA","Independent",4721,"Bihar","Banka",0
"SUBODH NARAYAN JHA","All India Trinamool Congress",4412,"Bihar","Banka",0
"VIJAY BHARTI","Rajnaitik Vikalp Party",4317,"Bihar","Banka",0
"MITHLESH KUMAR SINGH","National Loktantrik Party",2977,"Bihar","Banka",0
"DEEPAK KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",2481,"Bihar","Banka",0
"MUKESH KUMAR SINHA","Bhartiya Ekta Manch Party",2405,"Bihar","Banka",0
"MAHBOOB ALAM ANSARI","Bharatiya Momin Front",2280,"Bihar","Banka",0
"UMAKANT YADAV","Bahujan Mukti Party",2266,"Bihar","Banka",0
"VEENA DEVI","Lok Jan Shakti Party",352911,"Bihar","Munger",1
"RAJIV RANJAN SINGH ALIAS LALAN SINGH","Janata Dal  (United)",243827,"Bihar","Munger",0
"PRAGATI MEHTA","Rashtriya Janata Dal",182971,"Bihar","Munger",0
"ASHOK KUMAR SINGH","Shivsena",50469,"Bihar","Munger",0
"None of the Above","None of the Above",15420,"Bihar","Munger",0
"KAMLESHWARI MANDAL","Bahujan Samaj Party",11225,"Bihar","Munger",0
"UCHIT KUMAR","Independent",11122,"Bihar","Munger",0
"MUZAFFAR FAKHRUDDIN","Independent",10264,"Bihar","Munger",0
"SHARWAN KUMAR ANAND","Independent",8112,"Bihar","Munger",0
"SANDEEP","Aam Aadmi Party",7481,"Bihar","Munger",0
"RAM BADAN RAI","Samajwadi Party",6769,"Bihar","Munger",0
"SURYODAY PASWAN","Sankhyanupati Bhagidari Party",5113,"Bihar","Munger",0
"PRAMOD KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",4710,"Bihar","Munger",0
"SHANKAR PRASAD","Bahujan Mukti Party",3956,"Bihar","Munger",0
"KAUSHLENDRA KUMAR","Janata Dal  (United)",321982,"Bihar","Nalanda",1
"SATYA NAND SHARMA","Lok Jan Shakti Party",312355,"Bihar","Nalanda",0
"ASHISH RANJAN SINHA","Indian National Congress",127270,"Bihar","Nalanda",0
"SANJAY KUMAR","Bahujan Samaj Party",23595,"Bihar","Nalanda",0
"SHASHI YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",19477,"Bihar","Nalanda",0
"PARNAV PRAKASH","Aam Aadmi Party",18224,"Bihar","Nalanda",0
"SHAILESH KUMAR","Ati Picchara party",15370,"Bihar","Nalanda",0
"RAKESH RANJAN SINHA","Republican Party of India (A)",13381,"Bihar","Nalanda",0
"DHIRENDRA KUMAR","Janvadi Party(Socialist)",8757,"Bihar","Nalanda",0
"KAUSHAL KUMAR KAUSHALENDRA SINHA ALIAS BHARAT MANAS","Independent",7472,"Bihar","Nalanda",0
"LALLU RAM","Bahujan Mukti Party",6788,"Bihar","Nalanda",0
"AWADH KUMAR","Independent",6346,"Bihar","Nalanda",0
"MUNNA PRASAD","Independent",6048,"Bihar","Nalanda",0
"None of the Above","None of the Above",5452,"Bihar","Nalanda",0
"NAYEB ALI","All India Trinamool Congress",4613,"Bihar","Nalanda",0
"YOGENDRA PRASAD","Bharatiya Inqalab Party",4600,"Bihar","Nalanda",0
"MAHESH PASWAN","Bharat Bhrashtachar Mitao Party",4236,"Bihar","Nalanda",0
"NARESH PRASAD SINGH","Independent",3620,"Bihar","Nalanda",0
"PRAMOD KUMAR NIRALA","Sankhyanupati Bhagidari Party",2779,"Bihar","Nalanda",0
"VISHWAJIT KUMAR","Independent",2604,"Bihar","Nalanda",0
"NIRAJ SHARMA","Rajnaitik Vikalp Party",2342,"Bihar","Nalanda",0
"LATA SINHA","Independent",2237,"Bihar","Nalanda",0
"BHOLA SAO","Krantikari Vikas Dal",2213,"Bihar","Nalanda",0
"SHATRUGHANA SINHA","Bharatiya Janata Party",485905,"Bihar","Patna Sahib",1
"KUNAL SINGH","Indian National Congress",220100,"Bihar","Patna Sahib",0
"DR.GOPAL PRASAD SINHA","Janata Dal  (United)",91024,"Bihar","Patna Sahib",0
"PARVEEN AMANULLAH","Aam Aadmi Party",16381,"Bihar","Patna Sahib",0
"UMESH KUMAR","Samajwadi Party",10836,"Bihar","Patna Sahib",0
"GANESH SAW","Bahujan Samaj Party",9691,"Bihar","Patna Sahib",0
"GANGA VISHNU PRASAD","Independent",8834,"Bihar","Patna Sahib",0
"None of the Above","None of the Above",7727,"Bihar","Patna Sahib",0
"NAND KISHORE SINGH","Independent",6057,"Bihar","Patna Sahib",0
"SHREEKANT LABH","Samajwadi Janata Party (Rashtriya)",3178,"Bihar","Patna Sahib",0
"CHANDRA BHUSHAN PRASAD CHANDRAVANSHI","Bahujan Mukti Party",3015,"Bihar","Patna Sahib",0
"KUMAR RAJIV","Independent",2914,"Bihar","Patna Sahib",0
"DR. RAKESH DUTTA MISHRA","Bharatiya Jan Kranti Dal (Democratic)",2687,"Bihar","Patna Sahib",0
"LAL BAHADUR SINGH PATEL","Krantikari Vikas Dal",2502,"Bihar","Patna Sahib",0
"ANIL KUMAR","Independent",2478,"Bihar","Patna Sahib",0
"GAJENDRA KUMAR","Sankhyanupati Bhagidari Party",2166,"Bihar","Patna Sahib",0
"PARWEZ AHMAD","Loktantrik Janata Party (Secular)",1856,"Bihar","Patna Sahib",0
"JAUHAR AZAD","Janta Dal Rashtravadi",1834,"Bihar","Patna Sahib",0
"SHYAM NANDAN PRASAD","Independent",1834,"Bihar","Patna Sahib",0
"VIJAY KUMAR SAHNI","Independent",1243,"Bihar","Patna Sahib",0
"RAM KRIPAL YADAV","Bharatiya Janata Party",383262,"Bihar","Pataliputra",1
"MISHA BHARTI","Rashtriya Janata Dal",342940,"Bihar","Pataliputra",0
"RANJAN PRASAD YADAV","Janata Dal  (United)",97228,"Bihar","Pataliputra",0
"RAMESHWAR PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",51623,"Bihar","Pataliputra",0
"RAJ KUMAR RAM","Bahujan Samaj Party",17188,"Bihar","Pataliputra",0
"DURGESH NANDAN SINGH ALIAS DURGESH NANDAN","Independent",16645,"Bihar","Pataliputra",0
"SHATRUDHAN SAW","Bharatiya Ekta Dal",8184,"Bihar","Pataliputra",0
"NIRAJ KUMAR","Independent",8084,"Bihar","Pataliputra",0
"SUNIL KUMAR","Samajwadi Janata Party (Rashtriya)",6269,"Bihar","Pataliputra",0
"ABINASH KUMAR","Bharatiya Jan Kranti Dal (Democratic)",5854,"Bihar","Pataliputra",0
"KUNDAN PRASAD SINGH","Aam Aadmi Party",5637,"Bihar","Pataliputra",0
"KUMAR INDRA BHUSHAN","Independent",5412,"Bihar","Pataliputra",0
"JAI PRAKASH YADAV","Independent",4804,"Bihar","Pataliputra",0
"None of the Above","None of the Above",4678,"Bihar","Pataliputra",0
"SUNIL KUMAR SINGH","Independent",4555,"Bihar","Pataliputra",0
"NAGENDRA KUMAR","Bharat Vikas Morcha",4302,"Bihar","Pataliputra",0
"MUKUL KUMAR SHARMA","Sankhyanupati Bhagidari Party",3015,"Bihar","Pataliputra",0
"PANCHAM LAL","Independent",2520,"Bihar","Pataliputra",0
"DEO KUMAR VERMA","Republican Party of India (A)",2484,"Bihar","Pataliputra",0
"CHANDRA DEV PRASAD","Bahujan Mukti Party",2268,"Bihar","Pataliputra",0
"MINENDRA KUMAR SINGH","Independent",1697,"Bihar","Pataliputra",0
"RAJ KUMAR SINGH","Bharatiya Janata Party",391074,"Bihar","Arrah",1
"SRIBHAGWAN SINGH KUSHWAHA","Rashtriya Janata Dal",255204,"Bihar","Arrah",0
"RAJU YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",98805,"Bihar","Arrah",0
"MEENA SINGH","Janata Dal  (United)",75962,"Bihar","Arrah",0
"None of the Above","None of the Above",14703,"Bihar","Arrah",0
"BHARAT BHUSHAN PANDEY","Akhil Bharatiya Jan Sangh",10950,"Bihar","Arrah",0
"RAMESH CHANDRA BADAL","Bahujan Samaj Party",7637,"Bihar","Arrah",0
"DR. SURENDRA KUMAR PRASAD","Aam Aadmi Party",7518,"Bihar","Arrah",0
"ASHOK RAM","Independent",7305,"Bihar","Arrah",0
"BAIJNATH YADAV","Bahujan Mukti Party",6886,"Bihar","Arrah",0
"GOPAL SINGH","Independent",5879,"Bihar","Arrah",0
"SHAMBHU PRASAD SHARMA","Hindustan Vikas Dal",5680,"Bihar","Arrah",0
"SHANKAR DAYAL PASWAN","Independent",5610,"Bihar","Arrah",0
"ASHWINI KUMAR CHOUBEY","Bharatiya Janata Party",319012,"Bihar","Buxar",1
"JAGADANAND SINGH","Rashtriya Janata Dal",186674,"Bihar","Buxar",0
"DADAN YADAV","Bahujan Samaj Party",184788,"Bihar","Buxar",0
"SHYAM LAL SINGH KUSHWAHA","Janata Dal  (United)",117012,"Bihar","Buxar",0
"INDU SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",13051,"Bihar","Buxar",0
"SHEO GOPAL CHOUDHARY","Independent",12422,"Bihar","Buxar",0
"None of the Above","None of the Above",9179,"Bihar","Buxar",0
"SWETA PATHAK","Aam Aadmi Party",7879,"Bihar","Buxar",0
"MOKARRAM HUSSAIN","Suheldev Bhartiya Samaj Party",7514,"Bihar","Buxar",0
"PRADEEP KUMAR PRASAD","Pragatisheel Manav Samaj Party",6901,"Bihar","Buxar",0
"NARENDRA PRATAP SINGH","Independent",6130,"Bihar","Buxar",0
"LALLAN RUPNARAIN PATHAK","Independent",5294,"Bihar","Buxar",0
"SHIO KUMAR SHARMA","Janvadi Party(Socialist)",3437,"Bihar","Buxar",0
"RAJENDRA KUMAR SINGH CHOUHAN","Bharat Vikas Morcha",2740,"Bihar","Buxar",0
"TAFIR HUSSIAN","Hindustan Vikas Dal",2241,"Bihar","Buxar",0
"PARSHURAM PRASAD","Bahujan Mukti Party",2066,"Bihar","Buxar",0
"MONIBUR RAHMAN","Janta Dal Rashtravadi",1864,"Bihar","Buxar",0
"CHHEDI PASWAN","Bharatiya Janata Party",366087,"Bihar","Sasaram (SC)",1
"MEIRA KUMAR","Indian National Congress",302760,"Bihar","Sasaram (SC)",0
"KARRA PARASU RAMAIAH","Janata Dal  (United)",93310,"Bihar","Sasaram (SC)",0
"BALESHWAR BHARTI","Bahujan Samaj Party",31528,"Bihar","Sasaram (SC)",0
"None of the Above","None of the Above",13379,"Bihar","Sasaram (SC)",0
"GEETA ARYA","Aam Aadmi Party",11005,"Bihar","Sasaram (SC)",0
"TETRI DEVI","Communist Party of India  (Marxist-Leninist)  (Liberation)",7486,"Bihar","Sasaram (SC)",0
"SURENDRA RAM","Independent",6144,"Bihar","Sasaram (SC)",0
"RAJNARAIN RAO","Independent",4395,"Bihar","Sasaram (SC)",0
"RAVIKANT CHAUDHARY","Independent",3980,"Bihar","Sasaram (SC)",0
"SAROJ RAM","Bahujan Mukti Party",3906,"Bihar","Sasaram (SC)",0
"NAND LAL RAM","Independent",2808,"Bihar","Sasaram (SC)",0
"UPENDRA KUSHWAHA","Rashtriya Lok Samta Party",338892,"Bihar","Karakat",1
"KANTI SINGH","Rashtriya Janata Dal",233651,"Bihar","Karakat",0
"MAHABALI SINGH","Janata Dal  (United)",76709,"Bihar","Karakat",0
"SANJAY KEWAT","Bahujan Samaj Party",45503,"Bihar","Karakat",0
"RAJA RAM SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",32686,"Bihar","Karakat",0
"None of the Above","None of the Above",10185,"Bihar","Karakat",0
"SATYA NARAYAN SINGH","Independent",9919,"Bihar","Karakat",0
"PRADEEP KUMAR JOSHI","Rashtra Sewa Dal",6994,"Bihar","Karakat",0
"BHAIRAW DAYAL SINGH","Independent",6974,"Bihar","Karakat",0
"GHULAM KUNDANAM","Aam Aadmi Party",6938,"Bihar","Karakat",0
"RAM DAYAL SINGH","Independent",5459,"Bihar","Karakat",0
"RAJANI DUBEY","Akhil Bharatiya Jan Sangh",4795,"Bihar","Karakat",0
"VEENA BHARTI","Janvadi Party(Socialist)",4002,"Bihar","Karakat",0
"MD. DILBAS ANSARI","Independent",2813,"Bihar","Karakat",0
"DINESH KUMAR","Bahujan Mukti Party",2359,"Bihar","Karakat",0
"IMRAN ALI","Independent",2048,"Bihar","Karakat",0
"DR. ARUN KUMAR","Rashtriya Lok Samta Party",322647,"Bihar","Jahanabad",1
"SURENDRA PRASAD YADAV","Rashtriya Janata Dal",280307,"Bihar","Jahanabad",0
"ANIL KUMAR SHARMA","Janata Dal  (United)",100851,"Bihar","Jahanabad",0
"RAMADHAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",34365,"Bihar","Jahanabad",0
"NITYANAND SINGH","Independent",10625,"Bihar","Jahanabad",0
"RAVINDRA SINGH","Bahujan Samaj Party",10580,"Bihar","Jahanabad",0
"None of the Above","None of the Above",10352,"Bihar","Jahanabad",0
"MANJAY KUMAR","Independent",8874,"Bihar","Jahanabad",0
"ARJUN THAKUR","Independent",7757,"Bihar","Jahanabad",0
"MD. ISTIYAK","All India Trinamool Congress",6041,"Bihar","Jahanabad",0
"SUDAY YADAV","Independent",4202,"Bihar","Jahanabad",0
"CHANDRA BHUSHAN SHARMA","Aam Aadmi Party",3711,"Bihar","Jahanabad",0
"RAHUL RANJAN","Jharkhand Mukti Morcha",3521,"Bihar","Jahanabad",0
"MANJU DEVI","Krantikari Vikas Dal",2826,"Bihar","Jahanabad",0
"PARSHURAM VIND","Bahujan Mukti Party",2721,"Bihar","Jahanabad",0
"NARENDRA KUMAR","Shivsena",2136,"Bihar","Jahanabad",0
"SUSHIL KUMAR SINGH","Bharatiya Janata Party",307941,"Bihar","Aurangabad",1
"NIKHIL KUMAR","Indian National Congress",241594,"Bihar","Aurangabad",0
"BAGI KUMAR VERMA","Janata Dal  (United)",136137,"Bihar","Aurangabad",0
"SANTOSH KUMAR","Bahujan Samaj Party",27833,"Bihar","Aurangabad",0
"None of the Above","None of the Above",17454,"Bihar","Aurangabad",0
"UPENDRA NATH","Bahujan Mukti Party",9255,"Bihar","Aurangabad",0
"SOMARU PASWAN","Independent",8678,"Bihar","Aurangabad",0
"RAMJI SINGH","Independent",7195,"Bihar","Aurangabad",0
"RAGINI LATA SINGH","Aam Aadmi Party",6703,"Bihar","Aurangabad",0
"BIJEET KUMAR","Independent",6121,"Bihar","Aurangabad",0
"RAKESH SHARMA","Independent",5726,"Bihar","Aurangabad",0
"USHA SHARAN","Shoshit Samaj Dal",4608,"Bihar","Aurangabad",0
"DURGA THAKUR","Independent",3696,"Bihar","Aurangabad",0
"RITA DEVI","Samajwadi Party",3333,"Bihar","Aurangabad",0
"HARI MANJHI","Bharatiya Janata Party",326230,"Bihar","Gaya (SC)",1
"RAMJI MANJHI","Rashtriya Janata Dal",210726,"Bihar","Gaya (SC)",0
"JITAN RAM MANJHI","Janata Dal  (United)",131828,"Bihar","Gaya (SC)",0
"ASHOK KUMAR","Jharkhand Mukti Morcha",36863,"Bihar","Gaya (SC)",0
"DR. DEV KUMAR CHOUDHARY","Independent",19651,"Bihar","Gaya (SC)",0
"None of the Above","None of the Above",19030,"Bihar","Gaya (SC)",0
"SHIV KUMAR KANT","Bahujan Samaj Party",16028,"Bihar","Gaya (SC)",0
"KAPIL CHOUDHARY","All India Trinamool Congress",9004,"Bihar","Gaya (SC)",0
"NIRANJAN KUMAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",7624,"Bihar","Gaya (SC)",0
"BHUNESWAR DAS","Rashtriya Ahinsa Manch",7549,"Bihar","Gaya (SC)",0
"DHANANJAY KISHORE","Aam Aadmi Party",7312,"Bihar","Gaya (SC)",0
"MAMTA KUMARI","Samajwadi Party",6065,"Bihar","Gaya (SC)",0
"SHIV SHANKAR KUMAR","Bharat Bhrashtachar Mitao Party",5924,"Bihar","Gaya (SC)",0
"INDRA DEO CHOUDHARY","Bahujan Mukti Party",5544,"Bihar","Gaya (SC)",0
"GIRIRAJ SINGH","Bharatiya Janata Party",390248,"Bihar","Nawada",1
"RAJ BALLABH PRASAD","Rashtriya Janata Dal",250091,"Bihar","Nawada",0
"KAUSHAL YADAV","Janata Dal  (United)",168217,"Bihar","Nawada",0
"SAFDAR ISMAIL","Independent",12072,"Bihar","Nawada",0
"SOHAIL ANWER","Bahujan Samaj Party",7997,"Bihar","Nawada",0
"None of the Above","None of the Above",7489,"Bihar","Nawada",0
"SHULOCHANA DEVI","Independent",7324,"Bihar","Nawada",0
"SATISH KUMAR","Independent",6736,"Bihar","Nawada",0
"MANISH KUMAR","Independent",6443,"Bihar","Nawada",0
"RAJENDRA SINGH","Aam Aadmi Party",4057,"Bihar","Nawada",0
"ADITYA NARAYAN","Independent",3743,"Bihar","Nawada",0
"SURENDRA RAJBANSHI","Samajwadi Party",3612,"Bihar","Nawada",0
"AZAD GEETA PRASAD SHARMA","Independent",3568,"Bihar","Nawada",0
"VIJAY RAM","Moolniwasi Samaj Party",3291,"Bihar","Nawada",0
"MOHAMMAD JAHID HUSAIN","All India Trinamool Congress",3138,"Bihar","Nawada",0
"ASHOK KUMAR","Rajnaitik Vikalp Party",2596,"Bihar","Nawada",0
"UMAKANT RAHI","Shoshit Samaj Dal",2169,"Bihar","Nawada",0
"PRAMENDRA KUMAR YADAV","Bharatiya Ekta Dal",1650,"Bihar","Nawada",0
"CHIRAG KUMAR PASWAN","Lok Jan Shakti Party",285354,"Bihar","Jamui (SC)",1
"SUDHANSU SHEKHAR BHASKAR","Rashtriya Janata Dal",199407,"Bihar","Jamui (SC)",0
"UDAY NARAIN CHOUDHARY","Janata Dal  (United)",198599,"Bihar","Jamui (SC)",0
"None of the Above","None of the Above",19517,"Bihar","Jamui (SC)",0
"BRAHMDEV ANAND PASWAN","Bahujan Samaj Party",15008,"Bihar","Jamui (SC)",0
"UPENDRA RAVIDAS","Jharkhand Mukti Morcha",10748,"Bihar","Jamui (SC)",0
"SUBHASH PASWAN","Independent",10452,"Bihar","Jamui (SC)",0
"MANOJ KUMAR MANJHI","Independent",8360,"Bihar","Jamui (SC)",0
"DILIP KUMAR","Independent",7635,"Bihar","Jamui (SC)",0
"VINOD KUMAR DAS","Aam Aadmi Party",7159,"Bihar","Jamui (SC)",0
"VISHUN CHOUDHARY","Shivsena",7147,"Bihar","Jamui (SC)",0
"JAY PRAKASH DAS","Communist Party of India  (Marxist-Leninist)  (Liberation)",6253,"Bihar","Jamui (SC)",0
"KHER KIRRON ANUPAM","Bharatiya Janata Party",191362,"Chandigarh","CHANDIGARH",1
"PAWAN KUMAR BANSAL","Indian National Congress",121720,"Chandigarh","CHANDIGARH",0
"GULKIRAT KAUR PANAG","Aam Aadmi Party",108679,"Chandigarh","CHANDIGARH",0
"JANNAT JAHAN-UL-HAQ (NAINA)","Bahujan Samaj Party",15934,"Chandigarh","CHANDIGARH",0
"None of the Above","None of the Above",3106,"Chandigarh","CHANDIGARH",0
"REENA SHARMA","Independent",2643,"Chandigarh","CHANDIGARH",0
"SHAMSHER SINGH","Independent",2054,"Chandigarh","CHANDIGARH",0
"KAWALJIT SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",1968,"Chandigarh","CHANDIGARH",0
"PAWAN KUMAR SHARMA","Independent",997,"Chandigarh","CHANDIGARH",0
"RAMESH CHANDER","Independent",743,"Chandigarh","CHANDIGARH",0
"AJAY SINGLA","Independent",660,"Chandigarh","CHANDIGARH",0
"KHEM LAL BANSAL","Inqalab Vikas Dal",640,"Chandigarh","CHANDIGARH",0
"DEEPAK SHUKLA","Independent",613,"Chandigarh","CHANDIGARH",0
"DHARMENDER SINGH","Hindustan Ekta Party",566,"Chandigarh","CHANDIGARH",0
"SURENDER KUMAR","Bahujan Mukti Party",550,"Chandigarh","CHANDIGARH",0
"SURINDER BHARDWAJ","Janata Dal  (United)",434,"Chandigarh","CHANDIGARH",0
"AMARJIT KAUR","Independent",397,"Chandigarh","CHANDIGARH",0
"JASMER SINGH","Independent",389,"Chandigarh","CHANDIGARH",0
"KAMALBHAN SINGH MARABI","Bharatiya Janata Party",585336,"Chhattisgarh","SARGUJA",1
"RAM DEV RAM","Indian National Congress",438100,"Chhattisgarh","SARGUJA",0
"None of the Above","None of the Above",31104,"Chhattisgarh","SARGUJA",0
"DHARMJEET SINGH MARKAM","Bahujan Samaj Party",21633,"Chhattisgarh","SARGUJA",0
"RAJNATH","Independent",15515,"Chhattisgarh","SARGUJA",0
"COMRADE SURENDRA LAL SINGH","Communist Party of India  (Marxist)",14849,"Chhattisgarh","SARGUJA",0
"BALDEO PRASAD SINGH MARAVI","Gondvana Gantantra Party",14702,"Chhattisgarh","SARGUJA",0
"RAMASAPNA SINGH","Ambedkarite Party of India",11691,"Chhattisgarh","SARGUJA",0
"TULESHWAR SINGH","All India Trinamool Congress",11384,"Chhattisgarh","SARGUJA",0
"BAHADUR RAM","Independent",10861,"Chhattisgarh","SARGUJA",0
"DUBRAJ SINGH MARKAM","Independent",7577,"Chhattisgarh","SARGUJA",0
"SHIVKUMAR SINGH SHYAM","Rashtriya Gondvana Party",7374,"Chhattisgarh","SARGUJA",0
"KUMAIT RAM SANDIL","Independent",6146,"Chhattisgarh","SARGUJA",0
"RAMNATH CHEARWA","Shoshit Samaj Dal",6051,"Chhattisgarh","SARGUJA",0
"ADVOCATE KUNJ BIHARI SINGH PAIKRA","Bahujan Mukti Party",4998,"Chhattisgarh","SARGUJA",0
"VISHNU DEO SAI","Bharatiya Janata Party",662478,"Chhattisgarh","RAIGARH",1
"ARTI SINGH","Indian National Congress",445728,"Chhattisgarh","RAIGARH",0
"None of the Above","None of the Above",28480,"Chhattisgarh","RAIGARH",0
"KRIPA SHANKAR BHAGAT","Bahujan Samaj Party",27152,"Chhattisgarh","RAIGARH",0
"PRAKASH KUMAR URANW","Independent",12860,"Chhattisgarh","RAIGARH",0
"TARA SINGH RATHIYA","Aam Aadmi Party",12133,"Chhattisgarh","RAIGARH",0
"KRIPARAM SIDAR","Gondvana Gantantra Party",11227,"Chhattisgarh","RAIGARH",0
"BAJARANG SIDAR","Independent",11098,"Chhattisgarh","RAIGARH",0
"RAM NARAYAN AYAM","Ambedkarite Party of India",8747,"Chhattisgarh","RAIGARH",0
"DHANANJAY RATHIYA","Independent",8046,"Chhattisgarh","RAIGARH",0
